RecordID,StreetID,Date,VehicleID,JobID,Grease
256,5759,02/12/2009,6,11,FALSE
257,5841,02/12/2009,,4,FALSE
258,4612,02/12/2009,5,2,FALSE
259,4559,02/12/2009,5,11,FALSE
260,5060,01/12/2009,1,2,FALSE
261,6255,30/11/2009,1,12,FALSE
262,7901,27/11/2009,8,1,FALSE
263,7901,26/11/2009,8,1,FALSE
264,7901,26/11/2009,8,1,FALSE
265,7519,26/11/2009,9,2,FALSE
266,8032,26/11/2009,9,1,FALSE
267,7995,26/11/2009,9,2,FALSE
268,7669,23/11/2009,8,2,FALSE
269,7901,23/11/2009,8,1,FALSE
270,6871,22/11/2009,9,1,TRUE
271,8032,23/11/2009,9,1,FALSE
272,8603,23/11/2009,9,1,FALSE
273,7901,25/11/2009,8,1,FALSE
274,7901,25/11/2009,8,1,FALSE
275,7901,25/11/2009,8,1,FALSE
276,7908,01/12/2009,8,1,FALSE
277,7908,01/12/2009,8,1,FALSE
278,4428,03/12/2009,2,3,FALSE
279,4428,03/12/2009,2,3,FALSE
280,4428,03/12/2009,2,3,FALSE
281,6608,03/12/2009,2,2,FALSE
282,6608,03/12/2009,6,2,FALSE
283,5841,03/12/2009,6,4,FALSE
284,5815,03/12/2009,6,11,FALSE
285,5521,04/12/2009,2,3,FALSE
286,6144,04/12/2009,4,13,FALSE
287,6270,04/12/2009,4,12,FALSE
288,,,,,FALSE
289,5815,04/12/2009,6,4,FALSE
290,5841,04/12/2009,6,4,FALSE
291,4612,01/12/2009,3,2,FALSE
292,4612,02/12/2009,3,2,FALSE
293,4679,02/12/2009,3,3,FALSE
294,4490,03/12/2009,3,3,FALSE
295,6458,03/12/2009,3,3,FALSE
296,6608,03/12/2009,1,2,FALSE
297,4638,07/12/2009,5,2,FALSE
298,6608,07/12/2009,6,2,FALSE
299,5682,07/12/2009,2,3,FALSE
300,4611,07/12/2009,2,2,FALSE
301,6608,04/12/2009,1,3,FALSE
302,4534,04/12/2009,3,3,FALSE
303,5196,08/12/2009,4,2,FALSE
304,5196,08/12/2009,4,2,FALSE
305,4638,08/12/2009,5,2,FALSE
306,4662,08/12/2009,2,2,FALSE
307,5381,07/12/2009,1,3,FALSE
308,6608,09/12/2009,1,11,FALSE
309,6608,09/12/2009,1,3,FALSE
310,4484,09/12/2009,1,10,FALSE
311,4662,09/12/2009,2,2,FALSE
312,5610,09/12/2009,5,11,FALSE
313,4638,09/12/2009,5,2,FALSE
314,6273,09/12/2009,6,12,FALSE
315,5841,09/12/2009,6,4,FALSE
316,5815,09/12/2009,6,11,FALSE
317,6323,09/12/2009,6,11,FALSE
318,6210,09/12/2009,6,4,FALSE
319,6258,09/12/2009,6,11,FALSE
320,5254,08/12/2009,1,3,FALSE
321,7908,01/12/2009,8,1,FALSE
322,7908,01/12/2009,8,1,FALSE
323,7908,01/12/2009,8,1,FALSE
324,7908,01/12/2009,8,1,FALSE
325,8053,01/12/2009,8,1,FALSE
326,8053,03/12/2009,9,1,FALSE
327,5841,11/12/2009,6,4,FALSE
328,5815,11/12/2009,6,11,FALSE
329,4637,11/12/2009,2,3,FALSE
330,5309,10/12/2009,4,11,FALSE
331,6728,10/12/2009,6,11,FALSE
332,5815,10/12/2009,6,11,FALSE
333,5841,10/12/2009,6,4,FALSE
334,6269,10/12/2009,6,11,FALSE
